V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144
0,4366.623841,4242.454035,4051.756306,1550.812153,2276.903297,3026.676282,2100.895689,3292.325481,2866.238497,8158.214282,7328.932345,13918.05625,37708.16003,15162.75334,15827.46927,16937.54542,16090.33022,14905.64417,13670.92495,14066.21793,12784.2771,11719.31239,11635.58845,11000.54248,11474.04261,15094.73337,15513.19089,12474.58421,14676.90046,15273.16643,14321.04698,12169.46494,13462.46126,6331.112396,7501.131313,19077.5094,19279.16998,18263.80754,17342.13469,15077.04406,15993.81124,11037.23212,7043.954519,6122.03916,7902.408494,7330.329411,11591.82376,11512.49095,9681.141957,9305.506965,9393.673232,9211.170215,9490.969203,9918.303456,8077.360212,17019.57689,15734.371,13721.64774,13783.8446,13862.55198,15484.36772,14344.94555,10306.07044,1068.698048,50202.1921,51503.31747,30677.77738,31582.76678,32136.15226,18921.36884,18705.46711,16308.24389,15574.87507,1765.439893,5640.601524,11223.93609,4386.081045,5829.876531,5095.71432,6922.633835,7200.300095,15139.49308,8578.800582,8928.486972,7660.720567,7312.952561,4440.756953,4305.126424,4834.684335,4512.498228,18453.26686,19121.83585,19100.03832,19939.85382,19963.18314,19649.20378,18999.16713,19200.97298,17815.96202,19170.76402,18111.03874,17446.93285,13528.17827,6413.377003,7607.895952,2497.533149,1796.031004,1223.61306,973.5318059,1208.662792,3416.054095,621.052025,622.9828307,18701.39644,18449.16068,18449.16068,17901.0781,17564.48481,17646.7526,17307.62778,17025.30081,16789.72615,16546.30306,16273.83472,14141.52588,13655.79601,13005.35897,12159.09133,12159.09133,1020.478931,25806.52304,25806.52304,13423.83902,12584.12406,11259.76012,11178.71389,10951.88577,10876.81979,10305.63423,10168.34866,11183.15037,8688.818567,9884.051785
4366.623841,0,219.2841595,320.8239387,2819.361613,2857.649972,3488.963283,5467.894068,5481.551661,5182.158112,9571.396886,5444.593158,11242.38089,40603.33257,16515.08346,17276.67441,18251.49476,17630.99307,16583.43405,15524.92076,16089.10499,14581.77526,13531.52491,13444.89654,12955.35672,8090.755144,11751.99025,11938.50932,9388.654543,11288.40313,12495.43325,11417.22086,9896.615032,17273.13028,6578.999093,8277.463566,21971.65089,22686.24063,21747.8015,20788.89878,18756.95829,19421.27277,14383.15932,10399.70507,9751.717019,11150.87441,10278.11648,9985.357919,10252.43051,9248.562973,8919.042942,9700.581369,9600.159183,9969.201544,10523.91591,8835.675601,18766.66483,17713.75061,16183.76176,16204.13338,16299.052,17998.71294,16766.08758,12415.83092,3381.345912,53105.80091,54489.5915,33480.33256,34304.93578,34889.30639,22090.09849,21152.33755,19514.81096,18925.57276,4870.166753,8878.438854,14157.22491,417.8177841,3964.452101,1400.417206,2685.838986,3535.456691,12344.81891,5717.061403,6029.484851,4868.249091,10392.08686,3890.649567,3941.408125,5535.294956,5988.56553,20058.31326,21332.86697,21320.37439,22188.93305,22216.11768,21954.20062,21519.5293,21727.77359,20108.84426,21710.26162,20619.87636,20088.12629,16118.24916,5256.418269,6297.996295,2525.647555,3739.704642,3523.862236,3434.205008,4521.586522,7597.049896,3753.465126,4893.978246,21715.02924,21323.97294,21323.97294,20875.49334,20643.73604,20740.76391,20411.40805,20128.87476,19896.19543,19632.20459,19127.08393,17145.88191,16485.05929,16199.7664,15096.57986,15096.57986,5380.208487,24490.04175,24490.04175,14226.5164,13730.73325,12163.23899,11994.70682,11813.27406,11677.78352,11286.92217,11368.82416,12412.25776,4757.135476,11241.96289
4242.454035,219.2841595,0,302.4358028,2702.956019,2836.406808,3525.717619,5416.830376,5490.637939,5178.725205,9657.284841,5636.218606,11460.38806,40643.62484,16622.16309,17380.48393,18362.54833,17731.1099,16675.74022,15607.12517,16163.90312,14664.993,13611.81638,13525.12851,13027.30086,8308.81101,11969.26379,12151.72559,9607.930708,11505.23033,12714.30719,11636.40555,10108.96555,17235.59458,6696.229311,8384.791561,22004.6981,22685.16123,21740.36542,20783.65417,18731.86822,19416.44256,14378.43319,10385.2495,9716.425907,11145.67071,10288.35747,10183.90927,10442.29323,9409.033063,9076.580342,9834.724278,9730.587743,10097.49148,10649.05325,8947.01686,18858.52016,17793.03311,16235.72602,16258.40661,16352.5876,18050.24596,16821.13696,12478.60127,3239.138348,53147.52694,54526.09786,33524.58996,34354.33188,34937.00628,22105.48942,21210.81439,19525.65804,18925.88996,4819.789173,8865.323102,14178.66817,271.4667549,4141.678043,1615.640849,2874.844908,3753.835213,12563.74589,5933.301161,6246.602082,5081.564917,10394.95227,4001.834374,4043.981197,5618.702287,6041.464819,20158.19735,21404.15544,21391.16513,22258.93023,22285.93286,22021.04207,21574.22937,21782.28186,20174.69877,21764.04098,20674.44589,20134.69891,16163.01595,5065.206017,6475.425268,2328.534556,3552.052513,3362.320572,3298.064444,4352.890828,7508.354467,3634.453589,4756.611099,21740.35755,21357.71641,21357.71641,20902.6691,20663.99371,20760.13394,20429.871,20147.11614,19914.04797,19651.1695,19160.18757,17167.46336,16516.50077,16207.89459,15119.40946,15119.40946,5250.899806,24692.1185,24692.1185,14353.16773,13841.91471,12281.04874,12115.72503,11931.88467,11798.53368,11398.84296,11471.44284,12516.6788,4965.273698,11337.10665
4051.756306,320.8239387,302.4358028,0,2502.925905,2553.095392,3224.355919,5152.721322,5195.796246,4888.278048,9357.612544,5428.247817,11349.78662,40342.48641,16328.2753,17085.39495,18070.16553,17434.79862,16377.27247,15306.5881,15862.32705,14364.64736,13311.0076,13224.31229,12725.46915,8261.442653,11929.17354,12141.55308,9531.331731,11469.53806,12616.55362,11547.85431,9959.710079,16963.18086,6407.754972,8091.578582,21704.59971,22394.64692,21452.41697,20494.77702,18452.33969,19127.37579,14089.2192,10100.13581,9442.399442,10856.53486,9993.592602,9988.582779,10227.83852,9152.428107,8816.994186,9555.37621,9448.840718,9814.368906,10364.01235,8655.370139,18559.90017,17492.01159,15933.46777,15956.05317,16050.26099,17748.01646,16518.76085,12176.2213,3075.651796,52846.22269,54225.51748,33222.97441,34052.26889,34635.07323,21809.44624,20908.38217,19230.94087,18634.79322,4555.08666,8579.490094,13880.90415,571.5956291,3910.55389,1506.238654,2959.148333,3708.166625,12467.19957,5809.953316,6130.074185,4941.370969,10102.6744,3711.73901,3750.226782,5318.902936,5739.083314,19861.76098,21102.20398,21089.17333,21956.8746,21983.86391,21718.79119,21271.87277,21479.932,19872.4053,21461.71776,20372.09215,19832.82341,15861.28241,5286.727285,6241.766946,2289.539487,3480.687705,3232.501994,3125.082743,4235.962387,7276.234965,3437.199634,4584.467061,21441.78947,21057.49372,21057.49372,20603.6929,20366.62456,20462.9939,20132.96547,19850.26634,19617.29958,19354.12263,18860.05659,16869.71964,16216.63684,15913.99365,14821.33062,14821.33062,5066.89194,24503.82994,24503.82994,14068.63715,13549.77211,11991.99602,11828.29466,11643.25337,11510.99416,11107.17964,11176.20281,12222.00246,4984.552001,11039.56663
1550.812153,2819.361613,2702.956019,2502.925905,0,1288.168174,2338.155787,2960.175302,3569.241472,3160.006257,8349.549984,6317.302292,12799.67558,38639.61165,15434.71645,16141.77545,17207.98433,16441.70801,15301.3476,14125.53724,14591.30644,13207.98017,12136.99446,12051.08246,11466.79581,10139.38137,13792.51019,14148.88394,11227.43462,13360.13148,14134.22453,13139.0577,11153.35829,14736.49799,5986.574196,7415.993867,19978.73271,20392.0143,19406.82203,18467.30679,16296.99029,17107.20337,12094.23912,8068.993188,7269.120217,8887.983941,8168.463875,10773.37467,10804.3894,9215.177822,8846.072982,9186.955665,9030.406211,9350.603665,9835.64219,8004.959251,17456.75596,16254.28149,14421.49336,14467.05133,14552.93475,16216.57508,15032.39023,10826.5115,704.4261951,51144.73467,52478.3058,31565.76626,32440.53218,33006.68325,19934.4583,19425.71911,17329.28474,16654.30751,2402.05919,6583.911633,12102.12536,2861.996766,4741.680916,3588.97552,5380.982942,5751.999589,13994.71081,7339.24818,7686.475001,6415.754173,8211.595394,3625.622124,3539.246593,4561.974673,4554.707122,18843.79197,19750.58994,19732.35686,20586.7917,20611.72164,20317.00814,19749.81015,19954.92831,18471.2654,19929.66878,18853.59174,18239.90248,14279.22189,5732.877317,6782.511847,1462.929401,1715.027155,1070.759889,692.1409917,2009.959174,4836.935225,934.2754161,2108.669434,19650.16884,19340.51875,19340.51875,18831.27228,18536.70652,18625.3331,18289.16238,18005.8173,17770.64443,17517.8226,17148.18367,15068.70999,14506.93859,14007.42433,13046.15014,13046.15014,2569.569451,25181.6005,25181.6005,13470.41375,12751.22462,11315.17008,11199.50148,10986.15425,10886.78518,10374.3504,10319.82729,11362.91942,7205.911516,10092.35934
2276.903297,2857.649972,2836.406808,2553.095392,1288.168174,0,1065.799614,2652.434113,2696.113814,2355.173196,7245.886557,5119.264716,11672.42111,37898.95186,14324.33958,15048.27909,16091.98133,15364.71124,14250.11029,13110.38632,13613.78053,12180.79791,11112.9201,11026.39218,10474.38065,9205.179342,12818.92397,13250.40182,10198.51402,12402.86199,13021.22428,12056.14622,9967.984995,14418.64257,4726.301535,6213.109886,19242.99185,19854.30416,18905.40091,17949.87068,15899.67838,16582.99723,11545.55296,7548.862392,6896.9011,8313.066259,7478.214181,9517.846013,9528.028391,7929.550796,7561.195323,7939.406447,7789.636067,8118.715005,8617.578015,6801.145213,16419.68955,15266.66607,13556.43064,13590.27242,13680.59588,15365.13332,14155.474,9871.374526,1896.936852,50405.73648,51766.96999,30796.19111,31645.82355,32221.41441,19298.14801,18553.97584,16710.66871,16096.71397,2060.427808,6029.173686,11389.88746,3075.19604,3579.339487,3090.678529,5011.991106,5025.155639,12885.56353,6302.206128,6651.881467,5383.821839,7571.715078,2346.599384,2253.638578,3339.605759,3465.719131,17779.33819,18817.31829,18801.39089,19662.88579,19688.78,19407.34193,18898.48064,19105.35835,17558.84053,19083.72879,17999.31946,17424.54749,13451.44327,6822.489173,5520.82826,2600.441241,2997.362388,2316.217267,1824.382537,3137.770474,4932.477924,1749.913326,2899.664131,18956.22452,18598.69153,18598.69153,18124.03781,17867.67679,17961.72773,17629.56084,17346.43193,17112.6057,16852.32535,16400.83182,14376.32748,13754.46058,13389.50376,12333.30562,12333.30562,3210.205379,23900.57624,23900.57624,12279.15895,11606.53195,10134.73056,10007.70301,9799.864943,9692.755443,9203.419839,9181.500472,10230.03108,6552.24519,8979.986226
3026.676282,3488.963283,3525.717619,3224.355919,2338.155787,1065.799614,0,2609.857253,2056.113155,1847.948589,6256.690582,4321.609441,10927.95177,37118.17153,13317.23133,14050.36144,15080.35742,14376.34421,13278.93365,12164.49922,12692.35448,11228.72277,10165.43657,10078.71452,9550.858576,8713.739805,12256.53736,12769.23398,9586.492007,11861.12046,12290.38739,11367.11973,9149.219235,13998.67588,3660.504795,5165.474795,18482.85,19241.84785,18323.25425,17357.95238,15409.18436,15990.0892,10957.84681,7029.48066,6516.962051,7735.669919,6816.24916,8582.944009,8546.233475,6880.506236,6510.377525,6874.5085,6726.097139,7057.455761,7560.806556,5752.124622,15454.91922,14335.48964,12714.91045,12740.12505,12833.41766,14528.76537,13303.69206,8977.20174,2890.868124,49621.87008,51002.06584,29998.97671,30830.52299,31412.34341,18611.92863,17697.22674,16044.44409,15479.51134,2115.68373,5513.925364,10673.43028,3788.686252,2892.991658,3291.184861,5189.996279,4857.140958,12160.12217,5725.69196,6072.144056,4835.561886,6950.736357,1414.125139,1281.769609,2289.984634,2532.037653,16796.47577,17917.83697,17903.48892,18768.75506,18795.27283,18523.19637,18055.56942,18263.3798,16675.28312,18244.34561,17155.74853,16609.85244,12637.68476,7853.056999,4589.384302,3660.602529,4026.72855,3321.991273,2800.032864,4049.498845,5017.569327,2616.84582,3623.388809,18227.55324,17835.30574,17835.30574,17387.24394,17160.07694,17257.98566,16929.65587,16647.41496,16415.22595,16150.00321,15638.27036,13661.40855,12996.0961,12736.29746,11611.32275,11611.32275,3815.110369,22898.97549,22898.97549,11231.55523,10582.64617,9093.506519,8961.157515,8756.076205,8645.413461,8168.015148,8164.540824,9214.548529,6408.466992,7979.444017
2100.895689,5467.894068,5416.830376,5152.721322,2960.175302,2652.434113,2609.857253,0,1506.514057,1191.609956,6161.321974,6638.671097,13195.47531,35723.55355,13099.81424,13752.53148,14872.22574,14007.10941,12815.7484,11574.37987,11965.42055,10692.26168,9629.574127,9546.337192,8904.982627,11255.35837,14731.869,15302.20527,12031.54297,14354.89351,14567.92275,13711.48979,11305.14368,11828.48565,4826.257006,5697.408094,17071.24697,17431.83967,16448.16994,15507.50731,13358.16592,14147.1005,9135.670709,5110.89657,4325.265962,5938.204587,5277.505911,10447.57438,10227.03289,8163.924871,7791.735281,7640.794624,7440.837651,7683.350573,8061.348569,6247.910759,14923.07926,13633.53677,11637.25452,11696.17354,11776.32821,13409.00858,12258.4957,8206.42192,2909.355934,48225.286,49546.72848,28668.45519,29559.06921,30118.53424,16986.78225,16628.94773,14378.7949,13695.05957,597.7413669,3638.999296,9198.76368,5631.355903,5392.782257,5708.256024,7636.593241,7455.974313,14446.91738,8238.01462,8577.825288,7377.412996,5289.870244,3776.174682,3597.208778,3391.297149,2772.418399,16361.71553,17028.06975,17006.74199,17848.9574,17872.54569,17561.73785,16931.08517,17133.97705,15725.63109,17105.25272,16040.15446,15391.71223,11456.35208,8459.568992,6616.523086,4326.99524,3877.400942,3224.715113,2778.752797,3262.878651,2409.002865,2311.263621,2329.537367,16722.44599,16437.36763,16437.36763,15910.4513,15600.16695,15686.79169,15349.53891,15066.36814,14830.95136,14580.97928,14252.07476,12146.50277,11620.82377,11059.54369,10139.73746,10139.73746,2117.887886,24304.48067,24304.48067,11457.03119,10565.13382,9302.151947,9241.189407,9008.631343,8948.400124,8349.046686,8170.487479,9165.777257,9006.827062,7862.813887
3292.325481,5481.551661,5490.637939,5195.796246,3569.241472,2696.113814,2056.113155,1506.514057,0,431.4071747,4883.183672,5390.761964,11849.09763,35203.30643,11934.92801,12622.55948,13710.96638,12907.79361,11751.80447,10562.01896,11022.0942,9649.291448,8578.297168,8492.744316,7899.70804,10154.4482,13526.99544,14166.36463,10810.8054,13171.74982,13221.25039,12406.03046,9918.980893,11950.17127,3323.654818,4243.584034,16546.87805,17208.21208,16279.62019,15316.89584,13353.07601,13948.93828,8912.9573,4973.416874,4499.368689,5685.622368,4797.815728,8984.350431,8736.997933,6657.437616,6285.222399,6171.11766,5977.228484,6236.566241,6642.585568,4809.244778,13898.73094,12685.38158,10884.8385,10924.12702,11012.37398,12688.87776,11489.70345,7257.602147,3795.900112,47710.18095,49070.909,28102.78848,28956.55018,29530.42675,16615.54545,15887.51228,14035.17237,13446.5923,1543.880533,3459.09764,8696.79058,5741.850377,4343.64115,5341.188833,7222.362428,6733.765827,13105.47547,7127.817008,7454.157561,6324.708217,4912.617959,2733.660595,2550.198397,1921.378687,1274.480173,15298.69697,16187.75025,16170.12485,17026.7821,17052.0158,16761.7819,16223.46222,16429.73017,14914.53706,16406.74857,15325.16772,14737.71247,10766.37267,9297.677467,5233.765947,5032.017874,4911.905189,4192.904255,3667.5633,4500.984233,3578.723637,3262.266611,3677.15556,16262.65465,15902.61515,15902.61515,15429.25507,15178.30486,15273.38946,14942.22573,14659.28978,14425.89034,14164.13187,13704.78682,11684.46824,11058.39843,10718.53864,9639.585222,9639.585222,3565.62242,22800.01722,22800.01722,10132.54864,9312.44907,7968.06141,7886.487264,7659.561721,7585.056941,7014.152728,6888.492622,7912.728502,8269.475377,6619.787348
2866.238497,5182.158112,5178.725205,4888.278048,3160.006257,2355.173196,1847.948589,1191.609956,431.4071747,0,5314.552309,5514.634506,12034.95119,35562.71877,12365.09444,13051.32825,14141.15983,13334.92461,12176.31447,10981.85545,11435.2339,10071.4256,9000.606762,8915.202403,8317.309818,10215.64496,13638.24492,14246.13802,10928.08631,13272.51737,13407.71399,12568.44337,10129.48005,12164.69902,3654.984409,4652.471237,16902.5556,17506.54128,16565.65897,15606.94127,13599.82184,14239.41004,9201.237606,5225.670136,4670.459482,5968.767494,5123.629735,9255.967048,9040.15149,7007.678043,6633.762598,6570.339676,6379.674232,6645.598654,7059.359468,5222.462193,14320.64407,13099.75633,11273.38469,11315.54192,11402.69911,13073.99507,11881.08647,7668.444637,3368.04036,48069.75779,49423.84113,28468.80403,29328.65081,29900.30987,16943.16915,16277.36522,14355.59247,13747.17541,1131.674141,3704.055077,9040.71704,5424.010792,4366.574147,5133.694602,7037.802064,6642.490917,13288.78133,7188.34442,7521.449372,6357.842835,5217.917937,2738.257294,2554.101602,2202.485615,1667.360837,15723.83536,16590.93002,16572.83704,17427.92948,17452.9608,17159.97148,16608.54238,16814.39364,15313.53944,16790.54937,15710.95067,15113.91956,11145.36476,8881.826818,5439.070649,4621.26387,4481.014793,3762.91501,3239.253153,4074.635392,3439.362693,2831.318243,3265.749351,16606.67883,16259.75508,16259.75508,15776.66699,15514.64767,15608.2058,15275.66412,14992.48047,14758.52426,14498.79732,14062.71877,12025.30473,11416.6053,11034.75636,9984.797892,9984.797892,3179.502725,23158.57821,23158.57821,10561.09094,9743.801792,8396.355967,8312.937146,8086.653351,8010.664765,7442.677897,7319.562374,8344.118024,8188.240494,7051.159121
