Origen,Distancia_km
4.6707809, -74.0780245,7.14
4.5760408, -74.0832412,11.9
4.6998371, -74.0326975,14
4.520339, -74.1192275,19.29
4.5701539, -74.1467474,14.26
4.5784708, -74.1537134,12.82
4.694395, -74.1023665,7.91
4.5878522, -74.1821922,14.74
4.60409, -74.2136,19.69
4.604271, -74.1790039,11.94
4.642108, -74.1722701,10.47
4.63642, -74.153138,9.02
4.6616738, -74.1169534,2.97
4.7490862, -74.1105559,17.58
4.7464207, -74.1095204,17.78
4.7087927, -74.0919691,9.54
4.7116036, -74.0969527,10.73
4.650482, -74.103939,0
